ru,en
формулировать,to formulate
мемориальный,memorial adj
ректор,rector (head of university)
молодёжный,youth adj
академический,academic adj
ботанический,botanical adj
цвести,to bloom
запрещено,forbidden (adv)
нематериальный,non-material adj
родственный,related adj
жидкий,"liquid, fluid"
жидкий,"thin (watery, weak)"
жидкий,"sparse, scanty"
осмыслять,to give meaning to something
осмыслять,to make sense of something
осмыслять,to conceptualize
внешность,appearance
внешность,The outer visible part of something
дружище,"old chap, old fellow, buddy"
выезд,a depature
выезд,the action of departing or leaving
разбавленный,diluted
перочинный,penknife (adj)
дворняга,mongrel
дворняга,non pedigree dog
самообладание,self control
способность,ability
угольный,coal adj ( first stress)
потрясать,to shake
потрясать,to shock (emotionally)
походка,gait
походка,Manner of walking
бланк,blanks/margins
бланк,form
бланк,A sheet of paper with partially printed standard text used for uniform paperwork
надевать,to put on (clothes)
угловой,angle corner angular adj
хрусталь,crystal cut-glass warе
обменять,exchange
перпендикулярный,perpendicular adj
колонна,pillar or column
симметричный,symmetrical adj
связанный,"connected (with something), related"
укорачивать,to make shorter reduce make more consise
взаимосвязь,intercommunication or interdependence
взаимосвязь,A relationship of mutual dependence conditioning community between someone or something
утверждение,claim statement or assertion
регалия,regalia
мякоть,"pulp, flesh, bits"
созвучный,consonant adj
в веки веков,"forever and ever, for all time"
на веки веков,"forever and ever, for all time"
придаток,appendage
придаток,That which is an addition to something that has no independent significance
удлинять,to make longer or lengthen
дополнять,to supplement
выверенный,"calculated, deliberate"
эффективный,effective adj
отглагольный,verbal adj
отглагольный,formed from a verb
напоминать,to remind
уверять,to assure
убеждать,to convince or persuade
удивлять,to surprise
волновать,to worry or make anxious
причёсывать,to comb hair
обувать,to put on shoes
обувать,to provide with shoes
растерять,Lose what you have (all or much)
растерять,Gradually losing someone or something
растеряться,To lose the ability to think not to know how to act to be at a loss
растеряться,To get lost to disappear one after another (about many subjects)
шипучий,"fizzy (bubbling), sparkling"
шип,"thorn sturgeon, bastard sturgeon"
шип,thorn / spike
шип,"pin (tenon, dowel)"
шип,fizzle
изрыгнуть,"to vomit, spew, belch"
правильность,correctness rightness
обеспокоить,to disturb or trouble/bother
обеспокоить,Cause trouble or inconvenience to someone
осуществимый,doable or feasible adj
осуществимый,something can can be done
разрешимый,solvable adj
неразрешимый,unsolvable
непобедимый,unbeatable invincible adj
преодолимый,surmountable adj
объяснимый,explainable adj
поправимый,fixable adj
сдвиг,displacement or shift
сдвиг,shear / slide landslide
сдвиг,change for the better progress improvement
незаметный,inconspicuous or unnoticable adj
штормить,to be stormy
раздвинуть,to open
встреченный,met
перескакивать,jump over
перескакивать,skip over leaving something inbetween
орбитальный,orbital adj
обязательство,obligation or commitment (more like a promise)
обязательство,That which a person or other subject must necessarily do fulfill either by virtue of a promise made or by other circumstances
управляться,to handle or manage to deal with something
исток,the place where the water source begins the beginning of a stream a river
исток,action in meaning of истечь/истекать
истекать,to expire or come to an end
истекать,to run or flow out
истекать,Excretion of any liquid in large quantities
собеседование,interview
неопределимый,indefinable adj
неопределимый,one that is difficult impossible to define to understand
прелестный,Full of charm admirable charming adj
объяснение,explanation
колокольчик,small handbell
колокольчик,bluebell flower
зачётка,record-book
зачётка,record book is a document that contains records of a student's passing tests exams defending term papers and theses
стол,table
фонарик,flashlight
рукописный,manuscript adj
космос,cosmos
глупец,a fool or stupid person
убеждаться,to make sure of or to confirm something
генеральский,adjective of генерал
беспечность,carelessness
увольнение,dismissal discharge or firing
несправедливость,injustice unfairness
целесообразный,expedient advisable sensible rational
целесообразный,Causal Regular Intrinsically Justified
безнадёжный,hopeless adj
безнадёжность,hopelessness
медикаментозный,"medicinal, adjective медикаменты"
скульптурный,sculpture adj
ядро,core nucleus or main body
ядро,central part of a complex object
афишировать,To flaunt to deliberately draw everyone's attention to something (more often about personal relationships)
определять,to define
созвучие,сonsonance
теснить,to press crowd squeeze
теснить,Squeeze press so that it becomes tight Deprive of space
отражение,reflection
романтика,romance
раздавать,to distribute give out serve out dispense
раздача,handing out or distributing
раздача,раздавать/раздать action
дворик,small yard
цветочек,flower diminutive
цветочный,flower adj
удивление,surprise
царапина,a scratch or abrasion
беспокойный,restless or anxious adj
консультативный,consultative adj
верность,faithfulness or loyalty
говяжий,beef adj
восстановление,restoration or recovery
окраинный,adjective of окраина
наступление,arrival or onset
наступление,attack
заседание,meeting
заседание,A meeting of members representatives of an organization body or collective to discuss and resolve any issues
легендарный,legendary adj
равнина,plain (geological)
винить,to blame
винить,Blame someone for something hold someone or something guilty responsible for doing something wrong admit someone else's guilt
краткость,brevity conciseness adj
кратковременный,momentary or short time adj
жар,heat
жар,ardour
жар,fever
жарить,to fry
допуск,admittancе
допуск,Right to enter or access anywhere
горизонтальный,horizontal adj
фонарный,lantern adj
сдвигать,to move together
сдвигать,To move closer to each other to bring each other closer to each other
клеёнка,"table cloth oil-cloth, oilskin, plastic sheet"
клеёнка,a waterproof tablecloth
приобретение,acquisition
приобретение,purchase gain or bargain
обижаться,to take offense be offended
великан,a giant
великан,tall and large person
великан,someone who stands out from others
оперировать,to operate (surgery)
деваться,get to or disappear to some place
орех,a nut
археологический,archaeological adj
обстоять,to stand as or to be the way something is
обманчиво,deceptively
лесостой,stand of woods
древостой,stand of trees
антивоенный,anti-war adj
Объединённый гражданский фронт,United Civil Front
бессердечный,heartless adj
бессердечный,Devoid of cordiality or sensitivity
впрочем,however
изумительный,"amazing, wonderful"
изумительный,astounding
побывка,Short stays at home with family or relatives during vacation (mainly for military personnel)
забираться,to climb something
забираться,get to some hard to reach place
забираться,to leave and go somewhere far away or to hide
плод,fruit
плод,offspring
плодовый,fruit or fruitful
плодовый,Relating to the fruit fruits intended for the cultivation of fruits
безрассудный,reckless
безрассудный,Imprudent unrestrained by the arguments of reason (about deed action)
рассудок,reason
рассудок,The ability to think sensibly logically
беспочвенный,groundles unfounded or unsubstantiated adj
бескорыстный,selfless
бескорыстный,devoid of self-interest who does not require a reward for his help
безграничный,infinite or boundless
безграничный,having no visible boundaries Endless
самомнение,conceit
самомнение,Exaggeratedly high opinion of oneself and one's virtues
беспросветный,pitch dark or gloomy and hopeless
беспросветный,Very gloomy with no hope of anything
беспросветный,Without a gap completely dark
бесстыдный,shameless
бесстыдный,He who has no shame
беззаконный,lawless
арест,arrest
беспощадный,merciless
отплытие,departure (of the vessel) from the shore Setting sail
бессмертный,immortal
бесконечный,endless
бесчеловечный,inhumane
бессильный,powerless
стрекоза,"dragon-fly, dragonfly"
уделывать,beat up
первозданный,"primordial, pristine, original"
аморальный,immoral or amoral adj
сопротивляться,to resist
незаконный,illegal adj
воспаление,pneumonia
воспаление,inflammation
ябеда,"snitch, tattle-tale, information, slander, sneak"
трудолюбивый,"hard-working, industrious, diligent, assiduous"
еврейски,"Jewish, Hebrew"
западный,west
жаловать,to visit
жаловать,"to grant, to favor, bestow, regard with favour"
пожаловать,to visit
пожаловать,"to grant, to favor, to regard with favor, to bestow, to confer, to reward"
тень,shade
тень,"shadow, silhouette (ghost, phantom)"
тень,hint (vestige)
левый,left
распорка,strut
распорка,"distance piece, cross-piece"
печаль,grief or sorrow
печалиться,be sad or grieve (reflexive)
печалиться,To experience sorrow to indulge in sorrow grieve
поделать,to do
поделать,"to not be able to do something about it (with it ""с"")"
подводить,to fail or let someone down
подводить,to sum something up
трубопровод,piping
трубопровод,pipeline
склонять,to bend or tilt
склонять,to bow
склонять,to persuade
склонять,to win over to your side
наблюдательный,observant (adj)
суеверный,superstitious (adj)
уколоть,to prick
уколоть,Insert a sharp object usually a small one
укалывать,to prick
укалывать,Insert a sharp object usually a small one
замерзание,freezing
замерзание,action of (замерзать/замёрзнуть)
ругань,bad language/swearing
ругань,action of word (ругаться)
поправлять,to correct or adjust
различимый,perceivable or distinguishable (adj)
неприступный,inaccessible or unapproachable (adj)
приступ,assault or attack
заторопиться,to start rushing
потрудиться,"to labor, labour"
потрудиться,to exert effort
настойчивость,persistence
настаивать,to insist
ревизор,inspector
ревизор,Auditor
произносить,to pronounce
воспалять,to inflame
радушный,cordial hospitable or welcoming adj
прогуливать,be absent from work
прогуливать,spend some time walking
превосходный,excellent (adj)
озабочивать,to concern
трудность,difficulties
трудность,hardships
просыпать,to sleep through some time
просыпать,to oversleep
зачитывать,to give credit for something
зачитывать,to count something as another
всегда,always
проблематично,problematic
сбавлять,Take away a part of something (price quantity amount weight)
междугородный,intercity
междугородный,Acting existing taking place between cities connecting different cities
переодевать,to change clothes
переодеваться,to change clothes
приготовляться,"to prepare, get ready"
давний,old or long ago (adj)
величие,greatness
екатеринбуржец,Yekaterinburg resident
екатеринбуржка,Yekaterinburg resident (female)
претензия,claim on something
претензия,complaint
лотерейный,"lottery, лотерея"
упрекать,to rebuke
упрекать,to express disapproval of someone
палестинец,Palestinian
заботливый,caring and thoughful
числительный,numeral (grammar term)
убавлять,to decrease diminish or subtract
убавлять,Somewhat reduce in size quantity degree strength of something
забота,concern
безликий,faceless featureless
вычурный,pretentious
вычурный,overly intricate and decorated
голубизна,blueness
краснота,redness
сознать,"realize, recognize, acknowledge"
сознать,be conscious of
придерживать,to hold
придерживать,using a little effort to help hold something in place
фиолетовый,"violet, purple"
объявитель,"announcer, declarator"
освящённый,"consecrated, sanctified"
решивший,which decided
рождественский,Christmas (adj)
казанский,of or related to Kazan
китаец,"Chinese man, the Chinese"
охать,to gasp
охать,"say ""oh"""
фармацевтический,pharmaceutical (adj)
вешаться,Be unnecessarily intrusive in courting someone
вешаться,to hang yourself
вешаться,to determine weight with the help of scales
штамповать,to stamp
штамповать,make something by stamping stamp any material
клапан,flap
клапан,valve
клапан,related to music instruments hearts and clothing
опрокидываться,to overturn tip over capsize
пожизненный,lifelong (adj)
смог,smog
экологический,ecological (adj)
рейд,raid
валиться,to fall down
валиться,to mean that things are not working and you cant get anything right
снотворный,sleep inducing or sleeping pills
маленький,"little, small"
маленький,short
маленький,"trifling, petty"
гонять,"drive, drive away, make run errands, send on errands"
гонять,"chase, pursue"
нечестный,"dishonest, unfair"
перенести,"carry across, postpone, undergo"
перенести,reschedule
перенести,"to bear, to endure, to stand, to survive, to withstand"
свернуть,"turn, wrap tightly, roll up, curtail, reduce, cut down, turn"
доказательство,"proof, evidence"
оперативно,"promptly, prompt"
хороший,"good, nice"
генеральный,general
фокусник,"conjurer, juggler, magician"
фокусница,"magician, conjurer, juggler"
придуманный,designed
двор,"courtyard, yard, backyard, court, homestead, farmstead"
поворот,"a turn, twist"
поворот,a change of direction
камешек,small stone
камешек,pebble
промолчать,to remain silent
промолчать,to remain quiet for some period of time
промолчать,to avoid answering by remaining quiet
прикидывать,to estimate
прикидывать,to throw in to add to what is there
условный,conditional
догма,dogma
пояснять,to elaborate
замечание,remark
замечание,reprimand
нежелание,unwillingness
сомкнуться,to close
сомкнуться,"To connect closely to become solid continuous, whole"
смыкаться,to close
смыкаться,To connect closely to become solid continuous whole
неясность,obscurity
неясность,ambiguity
наряду,alongside
наряду,on equal footing
барыш,profit
бричка,A light carriage sometimes with a convertible top
скрипеть,to squeak
антикварный,antique adj
рухлядь,Old worn-out household items clothes Junk
умещаться,to fit
действительность,reality
проблематичный,promlematic
ручка,"pen, ballpoint"
ручка,"handle, knob, grip"
ручка,small hand
отказ,refusal
запоминающийся,memorable
плитка,tile
плитка,bar
плитка,stove
камушек,pebble
водичка,water
заслужить,to deserve
заслуживать,to deserve
неуместный,irrelevant
неуместный,out of place
тревога,anxiety
тревога,alarm
набат,historical bell or drum for sounding alarm
вспоминать,to recall or remember
небрежно,carelessly
отход,departure
оставаться,"remain, stay, be left"
оставаться,to be the only possible action
передавать,to transmit
передавать,to pass
передавать,to deliver
передать,to transfer
передать,to pass
передать,to deliver
необходимость,necessity or need
положиться,to rely on
положиться,to be supposed to (dative)
принятый,accepted
принятый,customary
последовать,to follow
запрещаться,be prohibited
недопустимый,inadmissible
недопустимый,not allowed
нападать,to attack
чужой,alien
чужой,somebody else's
категоричность,catagoricality
термос,thermos
мяться,to be crumbled or wrinkled
мяться,to hesitate
помяться,to be crumbled or wrinkled
помяться,to hesitate
сбываться,to come true
сбыться,to come true
обувь,shoes
уютный,cozy
пропалить,to burn throughout
сынуля,son
неэффективность,ineffectiveness
разорённый,"ruined, destroyed, wrecked"
спасшийся,"saved, escaped, survived"
взбунтовавший,"rebelling, revolting"
штраф,finе
заплатить,to pay
платить,to pay
заполнять,fill out
заполнить,to fill out
договориться,to negotiate
отдых,rest
отдых,relaxation
сочетание,combination
запрещение,prohibition
достижение,achievement
удаваться,to be a success
удаваться,to manage to do
успевать,to have time
успевать,to manage to do
успеть,to have time
успеть,to manage to do
досрочный,ahead of schedule
досрочный,premature
итог,"result (sum), total"
итог,outcome
итоговый,"resultant, total, "
итоговый,"final, concluding"
нежелательный,undesirable
в итоге,as a result
в итоге,eventually
предстоящий,upcoming
человеческий,human
путь,"way, track, path"
короткий,short (often length or duration)
жестянщик,tinsmith
лях,"Pole, Polish person"
воскрешённый,Ressurected
благоверный,better half
благоверный,"faithful, noble"
охватывать,to grip
охватывать,to encompass
охватить,to grip
охватить,to encompass
овладевать,to take possession
овладевать,to master
овладеть,to take possession of
овладеть,to master
происшествие,incident
предстоять,to lie ahead or remain
предстоять,to have ahead
соединение,joining
соединение,compound
соединение,connection
присоединение,addition
присоединение,annexation
согласовывать,to co-ordinate
согласовывать,to reconsile
согласовать,to co-ordinate
согласовать,to reconsile
согласованность,reconcilability
согласованность,coordinability
следствие,consequence
анкета,questionnaire
прежний,"former, previous"
собственник,landowner
частный,private
добавочный,additional
сжиматься,to compress
ранец,napsack
курьер,courier
запасной,reserve or spare
запасной,emergency exit
посещение,visiting
облегчать,to facilitate
облегчать,to make easier
передвижение,transportation
передвижение,movement
освобождённый,"freed, released, liberated"
побеспокоиться,"trouble, worry, bother"
козырять,"play a trump / show off, "
козырять,salute
козырнуть,play a trump / show off
козырнуть,salute
опасаться,to fear
бисквитный,sponge
бисквитный,biscuit
целесообразность,reasonableness
поставка,supply
поставка,"delivery, shipping"
семьдесят процентов,seventy percent (70%)
непривычный,uncustomary
непривычный,not used to
натворить,to screw up
натворить,to something wrongly
дебильный,retarded
акция,"stock, sale, share, action"
больше не,"not any more, no longer"
больше нет,no more
да нет же,but no
нѣтъ,no
нѣтъ,not
батя,"dad, daddy"
батя,"father, parson"
О не-е-ет!,Oh nooo!
предметный,"subject-specific, pertinent, thematic"
призвать,call upon
призвать,to urge
изолирующий,insulating
изолирующий,isolating
освободить,"free, liberate, release"
отмежеваться,disassociate (separate in disagreement from something)
отмежёвываться,disassociate (separate in disagreement from something)
отправляться,send
отправляться,depart or go
баг,bug
уползти,"to crawl away, slither away"
надо,need
надо,it is necessary
надо,= над
микроволновый,microwave
покладистость,"compliance, agreeableness"
романтик,"1. a romantic person or trait  2. (capitalized) a romantic writer, composer, or artist"
виртуозный,virtuoso
поглощать,to absorb
поглотить,to absorb
одновременный,simultaneous
проявление,manifestation
жажда,thirst
нажива,profit
техника,technique
техника,technology
завладевать,take possession
завладевать,take over
завладевать,capture
завладеть,take possession
завладеть,take over
завладеть,capture
захватить,capture
захватить,seize
захватывать,to capture
захватывать,seize
влияние,influence
сознание,consciousness
обладатель,possessor (owner)
штурм,assault
штурм,brainstorming
гнев,anger
смутный,vague
смутный,turmoil
попытка,attempt
различать,"to distinguish, to discern, to make out"
вспышка,flash
ухудшать,to worsen
ухудшить,to make worse
Австро-Венгрия,Austro-Hungary
тающий,melting
уподобление,likening
уподобление,assimilation
предыдущий,previous
сходство,similarity
столичный,capital
привлекательный,attractive
православный,orthodox
зарубежный,foreign and abroad
гражданский,civilian
отменённый,cancelled
увлекаться,to take an interest in
увлекаться,be carried away be fond of be engrossed
частотный,frequency
густой,thick
засыпать,fill up
учитывать,take into account
учесть,take into account
проездной,travel
монастырь,monastery
достаточный,enough
сопоставить,compare(juxtapose)
сопоставлять,compare(juxtapose)
сопоставление,comparison(juxtaposition)
разносторонний,versatile
драматург,playwright
устанавливаться,be settled or established
юбилей,"anniversary, jubilee, anniversary celebration, birthday"
временный,temporary
солнечный,sun
несть,(there is) not/no
ста̣рославянский,Old Slavonic
идеже,where
идеже,"wherever, wheresoever"
совпадать,coincide
жилой,residential
связывать,connect
затяжной,prolonged protracted
промелькнуть,to flash by
ориентироваться,to orient
ориентироваться,to navigate
сориентироваться,to orient
сориентироваться,to navigate
воздыхание,sighing
ведущий,leading
урожай,harvest
урожай,crop
спускаться,go down
реплика,"remark, comment"
проваливаться,fail
проваливаться,fall
вопросительный,questioning
актуальный,relevant
актуальный,current topical
противопоставление,opposition
противоречие,contradiction
противодействие,counteraction
сырой,raw
сырой,damp
задремать,doze off
задрёмывать,dose off
вскружить,to go to your head
наблюдение,observation
событие,event
былой,past bygone
отступить,to step back
отступить,retreat
отступать,step back
отступать,retreat
бедствие,disaster
несоответствие,discrepancy
обманутый,deceived
зажигать,to light fire
окраска,colouring
ни одной нетути,not a single one
непосредственный,immediate
непосредственный,direct
отразить,reflect
отражать,to reflect
расшифровать,decipher
расшифровывать,decipher
закапывать,to bury
невыполнимый,impracticable
невыполнимый,unenforceable
безвредный,harmless
невесомость,weightlessness
негативный,negative
компенсироваться,to compensate
худенький,skinny
приход,arrival
руководитель,leader
прибавляться,increase
прибавиться,increase
проникнуть,penetrate
проникнуть,break in
проникнуть,get in
проникать,penetrate
проникать,break in
проникать,get in
включение,inclusion
вбирать,absorb
вбирать,to take in
вобрать,absorb
вобрать,to take in
целенаправленный,purposeful
декольте,decollete
декольте,cleavage
смешаться,Mixed up
смешаться,confused
смешиваться,mix
гувернантка,governess(tutor)
продолжаться,to continue
мучительный,excruciating
расшифровка,deciphering
зажигалка,lighter
зажигание,ignition
зажигательный,incendiary
сырость,dampness
сырость,rawness
увлечение,hobby
увлечение,infatuation
увлекательный,fascinating
увлекательный,captivating
опоздание,lateness
обман,deception
обманщик,deceiver
обманный,fraudulent
обманный,deceptive
глазеть,gawk
глазеть,stare
глазок,peephole
глазок,eye diminutive
вредный,harmful
вред,harm
навредить,to hurt
невесомый,weightless
весомый,weighty
вес,weight
адрес,address
адрес,"towards, directed at"
разведка,"secret service, intelligence service, intelligence, reconnaissance, exploration, reconnaissance party, prospect, prospecting"
избавлять,to rid
властвовать,rule over
властвовать,dominate
властитель,ruler
властелин,lord
властелин,master
властелин,ruler
разнообразие,variety
разнообразие,diversity
разнообразный,diverse
разнообразный,various
печать,stamp
печать,the press
печатный,printing
вынуждать,to force
вынуждать,to compel
вынудить,to force
вынудить,to compel
запрещённый,prohibited or banned
запрет,a ban
запрет,withdrawal
запрет,removal
путаться,get tangled get confused
запутаться,to be confused
проникнуться,be imbued
проникнуться,be penetrated
проникаться,be imbued
проникаться,be penetrated
проникнутый,imbued
проникновенный,penetrating
проникновенный,moving
проникновенный,heartfelt
охотничий,hunting
беда,misfortune
беда,trouble
бедственный,calamitous
стихийный,elemental
мех,fur
Перьевая звезда,feather star (sea creature)
повторить,repeat
повторять,repeat
повторяться,repeat
повторение,repetition
властный,authoritative
властный,domineering
властный,bossy
произвольный,arbitrary
производитель,manufacturer
производственный,production
производственный,manufacture
мятый,wrinkled
помятый,wrinkled
помятый,crumpled
помять,to knead
помять,to crumple
помять,to wrinkle
продолжение,continuation
помешанный,mad
помешанный,crazy
положить,put
положить,lay
положительный,positive
договор,agreement
договор,contract
договор,treaty
крепость,stronghold
крепость,fortress
крепостной,fortress
крепостной,serfdom
сообразительность,quick-wittedness
раб,slave
отправлять,send
отправить,send
отправка,sending
независимость,independence
сожалеть,regret
сожалеть,be sorry
догадка,conjecture
догадка,guess
серебристый,silvery
непосредственность,spontaneity
непосредственность,immediacy
достичь,to reach
достичь,to achieve
мучить,to torment
мучение,torment
благодарный,thankful
заслуга,merit
звериный,beastly
зверский,brutal
усталость,tiredness
усталость,Exhaustion
спустить,to lower
спускать,to lower
супруг,male spouse
супруга,female spouse
одобрить,to approve
закапать,begin to drip
стен,"sthene, obsolete unit of measure of force or thrust"
бедный,poor
московский,Moscow
печённый,baked
лук,onion
лук,bow
преодолевать,to overcome
период,period
окрашивать,to color something
окрасить,to color
передвижной,mobile
передвижной,travelling
передвинуть,to move
передвигать,to move
сомкнуть,to close together
смыкать,to close together
трогательный,touching
трогательный,moving
жёлтый,yellow
захват,seizure
захват,capture
воплотить,"incarnate, embody, personify"
воплотить,"realize, realise"
хранитель,keeper
хранитель,guardian
сохраняться,preserve
сохраняться,save
сохраниться,to preserve
сохраниться,save
сохранение,preservation
отдельный,separate
отдельность,separateness
учебный,educational
экран,screen
скидка,discount
скинуть,throw off
скидывать,throw off
опора,support
понимание,understanding
проветриться,to be ventilated
проветриваться,to be ventilated
проветрить,to ventilate
проветривать,to ventilate
контроль,control
уехавший,had left
запираться,to lock
запереться,to lock
прививать,inoculate
прививать,graft
прививать,instill
вакцинировать,to vaccinate
присмотреть,look after
присмотреть,keep an eye on
присматривать,look after
присматривать,keep an eye on
хватить,be enough
хватить,STOP
присмотр,looking after
присмотр,supervision
добиваться,to achieve
добиваться,to get
настоять,insist on
предпочтение,preference
запирать,lock
запереть,lock
замок,lock
дирекция,board
дирекция,Management
предъявлять,show
предъявлять,present
предъявлять,produce
предъявить,show
предъявить,present
предъявить,produce
отводиться,be assigned
корм,feed
кормиться,feed
Эйфелева башня,Eiffel tower
неточность,inaccuracy
повысить,raise
повышение,increase
повышение,promotion
соотносить,to correlate
соотноситься,related or correlated
подразумеваться,implied
исправный,in good repair
исправный,servicable
обращённый,faces
обращённый,directed
даться,give
чудо,"miracle, wonder, wonderment"
чудо,"wonderwork, marvel"
чудо,wondrous creature
водомёт,"pressure washer, water cannon"
проникновение,penetration
проникновение,tresspassing
скидываться,chip in
недоуменный,puzzling
недоуменный,perplexing
недоуменный,bewildering
недоумок,a stupid person
прибавлять,increase
прибавочный,surplus
прибавка,increase
прибавка,raise (of salary)
прибавление,addition
сжатый,condensed
сжатый,compressed
сжать,squeeze
сжать,compress
сжимаемость,condensability
сжимаемость,compressibility
прикидываться,pretend
прикинуться,pretend
включить,turn on
включить,include
включать,include
включать,switch on
пережить,survive
пережить,outlast
пережить,suffer through
пережить,experience
распоряжаться,to dispose
распоряжаться,order
распорядиться,to dispose
распорядиться,order
налоговый,tax
вероятность,likelihood
вероятный,likely
невероятный,unbelievable
невероятный,incredible
маловероятный,unlikely
усомниться,doubt
главарь,leader or ringleader
погостить,stay
погостить,visit
гостить,stay
гостить,visit
гостиница,hotel
гостиная,living room
гостинец,present (usually sweets)
воспринять,take
воспринять,perceive
воспринимать,take
воспринимать,perceive
мыслительный,thinking or mental
продаваться,for sale
продаваться,selling
упоительный,"ravishing, delightful, entrancing"
ошибиться,be mistaken
жилка,"vein (of leaf, marble, etc.), fibre, nerve, rib"
предложить,suggest
предложить,offer
предложить,propose
просторно,spaciously
приятный,"nice, pleasant, pleasing, agreeable"
угрюмо,"grumpily, moodily, gloomily"
ложемент,lodgment / lodgement
ложемент,"support seat, pilot seat"
ложемент,"support bed, support device"
набраться,gather or aquire
набраться,drink or be drunk
набираться,gather or aquire
оценочный,evaluative
пробыть,stay
пробыть,remain
одинокий,lonely
обнаруживать,discover
пробивать,pierce or puncture
пробивать,strike
пробивать,break through
пробить,penetrate
пробить,break through
пробить,struck
пробиться,penetrate or pierce
пробиться,fight through
пробиваться,penetrate or puncture
пробиваться,push through
цветущий,blooming
достоверность,credibility
прямота,straightforwardness
воспроизвести,reproduce
воспроизведение,reproduction
дословный,word for word literal
чел,"person, man, people (only pl.)"
человек,"person, man, people"
человек,"menial, servant"
гардероб,wardrobe room
отгородиться,"fence oneself from, fence off"
новость,news
гвардия,Guard
удобный,"comfortable, handy, cosy"
удобный,"convenient, opportune"
допустимость,"admissibility, permissibility"
допустимость,acceptability
допустимый,"admissible, permissible"
допустимый,acceptable
допустимо,"admissibly, permissibly"
допустимо,acceptably
допустить,"to allow, to permit"
допустить,"to accept, to tolerate"
допустить,to assume
допустить,to let happen
засыпать,fall asleep
профсоюзный,trade union
разрезать,cut into pieces
разрезать,cut into pieces
интересный,interesting
нерешительный,"indecisive, hesitant, irresolute"
гульфик,"trouser flap, "
гульфик,codpiece
опасный,dangerous
початок,ear (of a fruit)
початок,cop (weaving)
початок,beginning
чатиться,to chat
летие,anniversary
весновспашка,spring ploughing
мерка,measurement
мерка,"measure, standard"
мерка,"measuring rod, yardstick"
задержать,"detain, delay, arrest, be behindhand, retard, hamper"
задержать,"hold, keep"
пришлый,"alien, newcomer"
пришлый,foreign
зимний,Winter
газировка,"aeration, fizzy water, pop, fizzy drink"
одухотворять,To spiritualize
одухотворённость,spiritualizability
мера,"measurement, extent, limit"
мера,measuríng unit
мера,"measure, action, remedy, step"
отставка,dismissal or resignation
утешать,to console
утешение,consolation
утешаться,console oneself or take comfort
утешаться,used with instrumental
утешиться,console oneself or take comfort
утешиться,used with instrumental
утешительный,consolatory
плакать,cry
поплакать,cry
плач,crying
разлука,separation
разлучать,to separate
разлучить,to separate
разлучаться,to seperate
разлучиться,to seperate
побежать,to run
побежать,uni directional
бежать,to run
бежать,uni directional
бегать,to run
бегать,multi directional
побегать,to run
побегать,multi directional
бег,running
беглец,fugitive
покрывать,to cover
покрыть,to cover
покрытие,covering
покрытие,coating
покрышка,tire
покрыться,to be covered
покрываться,to be covered
крытый,covered(roofed)
задохнуться,to suffocate
истома,languor
истомить,to exaust
истомлённый,weary
истомлённый,exausted
истомиться,be exhausted be weary
поранить,to injure
ранить,to injure
рана,wound
раненый,wounded
шейный,neck
засохший,dryed up
засохший,withered
мерило,measure
мерило,"criterion, standard, "
меритель,measuring instrument
меритель,measurer
часовня,chapel
часовой,"(relatioal) clock, watch, hour"
часовой,"hourly, one-hour, "
часовой,"sentry, sentinel"
рвануть,to jerk
рвануть,to take off (rush)
рвануть,explode
рваный,torn
прятать,to hide
спрятаться,to hide oneself
шинель,overcoat
слабеть,To weaken
ослабеть,to weaken
ослабевать,to weaken
слабость,weakness
дыхание,breathing or breath
мирящийся,"peacemaking, reconciling"
мирящийся,coming to terms
дыхнуть,to breathe
подышать,breathe some fresh air
вымотаться,"to be worn out, exhausted"
обессудить,to judge severely
накликать,"to court, bring about"
застёгивать,to fasten
застёгивать,to zip up or button
застегнуть,to fasten
застегнуть,to zip up or button
застёгнутый,fastened
застёгнутый,buttoned or zipped
застегнуться,to fasten oneself
застёгиваться,to fasten oneself
застёжка,fastener
застёжка,clasp
искушение,"temptation, seduction"
сухощавость,leanness
упасть,to fall
пасть,to fall
приникать,press oneself to
напеть,to hum
любить,love
вечный,eternal
реал,real
выматывать,drain exhaust
изводить,use up
изводить,exterminate
изводить,harass or torment
извести,use up
извести,exterminate
извести,harass or torment
досадить,to annoy
досаждать,to annoy
намотать,to wind
мотать,to wind
гам,racket or uproar
искоса,askew / aslant
искоса,"askance, sideways"
искось,"skew, skewness"
искось,slant
шуточный,"comical, joky"
бесценно,it is priceless
бесспорный,"indisputable, unquestionable, undeniable"
осенний,autumn
неодушевлённый,inanimate
чеканный,embossed or minted
панно,panel
панно,picture
систематический,systematic
неправильный,irregular wrong incorrect
с нуля,"from scratch, from the ground up"
с нуля,"anew, all over again"
следование,"following, tracking, tracing"
следование,"succession, consecution, sequence"
газетный,newspaper
следовой минерал,trace element
следовой,(relational) trace
вещество,"substance, material, agent"
вещество,matter
разборка,"sorting out, stripping, disassembling, dismantling, taking apart, to pieces"
разборка,settling of an account
братва,"mates, chaps, lads, brethren, gang"
вручаемый,"handed over, giving over"
вручаемый,entrusted
лишённый,lacking/deprived
достать,to reach
достать,"to take, to take out, to fetch"
достать,"to get, obtain, procure"
достать,"to annoy, bother, pester"
стронций,strontium
толк,"sense, use, meaning"
толк,"rumour, rumor, talk"
толк,"bias, orientation"
толк,"push, shove, thrust"
